# OGLE ID        MOA ID	  RA (J2000)	  Dec(J2000)	 Tmax[HJD]    Tmax[UTC]   Talert[HJD]     Talert[UTC]  DeltaT[d]    tE[d]    Umin    Amax   Ibase[mag]   I0[mag]   
None  MOA-2007-BLG-0207  17:53:55.952  -34:06:30.01  2454259.20  None  None  None  None  12.33  0.5995  1.88  None  17.63
None  MOA-2007-BLG-0211  17:55:29.202  -33:56:11.18  2454270.80  None  None  None  None  10.08  0.8162  1.51  None  15.99
None  MOA-2007-BLG-0212  18:01:25.729  -33:16:49.21  2454267.29  None  None  None  None  36.16  0.0690  14.51  None  19.91
None  MOA-2007-BLG-0216  18:04:16.859  -27:32:38.40  2454263.28  None  None  None  None  0.94  8.8832  1.0  None  9.98
None  MOA-2007-BLG-0217  18:05:46.083  -28:07:41.47  2454278.14  None  None  None  None  35.99  0.0514  19.49  None  19.42
None  MOA-2007-BLG-0218  18:00:32.001  -29:10:17.85  2454272.69  None  None  None  None  67.65  0.4015  2.64  None  20.00
None  MOA-2007-BLG-0219  18:13:48.071  -24:58:53.17  2454282.89  None  None  None  None  24.30  0.3897  2.71  None  17.49
None  MOA-2007-BLG-0220  17:57:07.064  -31:59:26.77  2454277.27  None  None  None  None  7.35  5.3020  1.0  None  11.89
None  MOA-2007-BLG-0221  18:08:38.355  -31:45:25.82  2454299.70  None  None  None  None  10.54  4.7855  1.0  None  11.82
None  MOA-2007-BLG-0223  17:53:05.544  -32:46:48.45  2454261.02  None  None  None  None  11.99  0.0689  14.53  None  21.86
None  MOA-2007-BLG-0224  17:52:15.039  -32:53:07.06  2454263.90  None  None  None  None  7.65  0.1385  7.27  None  19.39
None  MOA-2007-BLG-0225  17:49:08.207  -33:29:46.91  2454259.96  None  None  None  None  46.95  0.0476  21.04  None  20.61
None  MOA-2007-BLG-0226  17:52:02.793  -31:15:50.53  2454260.47  None  None  None  None  3.32  0.7066  1.67  None  18.89
None  MOA-2007-BLG-0228  17:55:30.100  -33:47:54.39  2454255.38  None  None  None  None  21.33  0.3156  3.29  None  19.88
None  MOA-2007-BLG-0229  17:57:54.193  -30:20:15.93  2454282.08  None  None  None  None  35.12  0.5560  2.0  None  18.04
None  MOA-2007-BLG-0230  17:58:05.940  -28:48:50.21  2454266.11  None  None  None  None  1000.48  0.0035  288.08  None  24.23
None  MOA-2007-BLG-0231  18:17:35.561  -21:53:46.13  2454260.88  None  None  None  None  2.13  3.8349  1.01  None  13.71
None  MOA-2007-BLG-0232  18:03:33.818  -32:37:20.59  2454259.75  None  None  None  None  12.53  0.3275  3.17  None  20.59
None  MOA-2007-BLG-0234  17:53:41.462  -28:50:56.48  2454279.03  None  None  None  None  13.52  0.7359  1.62  None  16.64
None  MOA-2007-BLG-0237  17:59:44.351  -27:28:04.74  2454265.77  None  None  None  None  14.36  0.3744  2.81  None  21.77
None  MOA-2007-BLG-0238  17:53:50.319  -28:55:03.09  2454271.85  None  None  None  None  36.62  0.0687  14.58  None  20.20
None  MOA-2007-BLG-0239  18:17:11.486  -25:36:29.37  2454271.42  None  None  None  None  14.69  1.2129  1.22  None  17.04
None  MOA-2007-BLG-0240  18:09:53.254  -29:38:39.41  2454268.11  None  None  None  None  28.19  0.7550  1.59  None  18.41
None  MOA-2007-BLG-0241  18:11:38.373  -28:03:25.43  2454272.59  None  None  None  None  55.53  0.0373  26.79  None  21.58
None  MOA-2007-BLG-0242  17:51:43.122  -33:08:36.17  2454276.53  None  None  None  None  43.94  0.2667  3.85  None  19.41
None  MOA-2007-BLG-0243  17:57:07.034  -31:59:27.88  2454277.04  None  None  None  None  8.96  4.2532  1.0  None  12.52
None  MOA-2007-BLG-0244  17:51:41.631  -30:26:15.30  2454267.86  None  None  None  None  16.72  0.0509  19.68  None  21.70
