2455632.80470 18.816 0.041 5.21 371.0
2455634.78364 18.780 0.034 4.66 334.0
2455635.82128 18.852 0.047 6.27 400.0
2455638.78031 18.843 0.065 6.55 681.0
2455640.76523 18.779 0.064 6.09 715.0
2455642.75551 18.802 0.051 4.77 722.0
2455643.91576 18.767 0.054 5.29 995.0
2455649.74677 18.799 0.046 7.32 262.0
2455650.87082 18.834 0.034 5.76 255.0
2455652.85564 18.847 0.030 4.17 250.0
2455655.77337 18.831 0.041 5.18 336.0
2455657.79532 18.727 0.029 4.33 289.0
2455658.91617 18.820 0.038 5.34 278.0
2455660.76820 18.820 0.034 5.45 257.0
2455662.88682 18.846 0.039 5.17 346.0
2455665.75969 18.760 0.037 5.57 309.0
2455668.84963 18.957 0.061 4.78 792.0
2455670.91239 18.826 0.048 4.63 680.0
2455676.79410 18.749 0.030 4.47 297.0
2455679.75609 18.861 0.033 3.86 315.0
2455680.92590 18.935 0.040 5.26 319.0
2455682.82023 18.773 0.032 4.39 362.0
2455684.79745 18.853 0.035 5.06 294.0
2455686.80355 18.781 0.027 3.51 334.0
2455689.69126 18.826 0.033 4.91 312.0
2455691.73618 18.837 0.035 5.00 284.0
2455692.87539 18.843 0.040 4.21 526.0
2455694.63976 18.780 0.044 4.92 545.0
2455695.80002 18.814 0.035 4.53 374.0
2455696.87083 18.810 0.045 5.51 497.0
2455698.62387 18.922 0.072 4.74 1298.0
2455703.83677 18.806 0.053 6.49 486.0
2455707.58045 18.825 0.046 5.75 480.0
2455708.64681 18.801 0.036 5.19 288.0
2455712.63858 18.767 0.040 5.38 384.0
2455712.65110 18.824 0.038 5.04 358.0
2455714.69366 18.931 0.033 4.93 236.0
2455716.72041 18.780 0.033 5.17 231.0
2455721.88677 18.902 0.060 6.67 468.0
2455723.71351 18.851 0.036 4.57 318.0
2455725.54537 18.793 0.047 5.30 577.0
2455726.75635 18.707 0.094 4.58 3580.0
2455734.72547 18.882 0.047 6.06 373.0
2455736.55592 18.789 0.037 4.71 402.0
2455737.63335 18.767 0.025 3.43 268.0
2455738.75449 18.861 0.030 4.22 281.0
2455740.51969 18.790 0.043 5.33 397.0
2455741.59621 18.838 0.035 4.71 269.0
2455742.60731 18.820 0.032 4.41 264.0
2455743.75795 18.783 0.043 5.85 362.0
2455744.79783 18.827 0.035 4.72 293.0
2455746.57405 18.849 0.038 5.14 444.0
2455747.73762 18.835 0.049 7.10 271.0
2455749.76013 18.841 0.044 6.29 279.0
2455753.64869 18.709 0.074 5.19 1919.0
2455760.63255 18.785 0.042 5.49 405.0
2455763.53792 18.759 0.029 3.82 325.0
2455764.63025 18.818 0.030 4.20 260.0
2455766.47288 18.835 0.046 5.32 431.0
2455767.60771 18.771 0.047 6.76 322.0
2455768.74304 18.801 0.034 4.69 329.0
2455770.76976 18.721 0.046 6.93 305.0
2455777.66000 18.771 0.029 4.32 270.0
2455786.64581 18.830 0.047 4.98 512.0
2455788.59931 18.727 0.037 4.42 437.0
2455791.47894 18.777 0.051 6.39 380.0
2455794.61920 18.783 0.038 5.56 273.0
2455796.68127 18.874 0.048 6.25 327.0
2455804.48211 18.815 0.038 5.10 332.0
2455806.55808 18.863 0.053 5.92 389.0
2455813.57921 18.829 0.038 3.95 536.0
2455816.60419 18.812 0.050 5.43 587.0
2455819.54443 18.819 0.042 4.67 464.0
2455823.62230 18.863 0.075 8.25 425.0
2455826.61208 18.943 0.075 9.53 452.0
2455828.57714 18.790 0.046 6.11 354.0
2455830.55066 18.744 0.042 6.45 374.0
2455832.57084 18.902 0.052 7.36 418.0
2455835.52184 18.935 0.068 6.98 411.0
2455839.58168 18.887 0.092 7.03 1035.0
2455841.58658 18.691 0.058 5.99 707.0
2455843.57496 18.858 0.060 6.13 586.0
2455845.58620 18.773 0.077 6.82 890.0
2455851.54632 18.926 0.056 6.11 417.0
2455855.53039 18.708 0.057 5.82 629.0
2455862.50356 18.790 0.056 6.31 504.0
2455971.88346 18.813 0.040 4.87 535.0
2455979.88731 18.798 0.051 6.43 401.0
2455984.89199 18.766 0.030 3.90 344.0
2455987.87535 18.811 0.032 4.05 321.0
2455990.83922 18.877 0.039 5.29 312.0
2455993.80208 18.720 0.059 7.25 512.0
2455995.81826 18.860 0.039 3.86 578.0
2455997.83647 18.872 0.044 5.14 447.0
2455999.84577 18.831 0.039 4.61 469.0
2456004.89834 18.767 0.031 4.44 325.0
2456006.89423 18.768 0.029 4.22 256.0
2456008.82582 18.773 0.030 4.35 279.0
2456010.75749 18.849 0.044 5.40 460.0
2456011.88835 18.754 0.042 3.82 765.0
2456013.80900 18.881 0.036 5.48 236.0
2456015.73684 18.782 0.033 4.82 340.0
2456016.82345 18.773 0.029 3.97 272.0
2456019.84759 18.833 0.029 4.08 255.0
2456020.90480 18.767 0.035 5.36 251.0
2456022.74173 18.899 0.040 4.62 465.0
2456023.80278 18.826 0.035 4.10 459.0
2456024.78592 18.835 0.041 4.64 516.0
2456025.86640 18.999 0.058 5.09 538.0
2456032.88010 18.770 0.029 4.05 296.0
2456034.86445 18.794 0.030 4.13 292.0
2456034.90206 18.790 0.031 3.87 318.0
2456037.85479 18.816 0.034 4.17 354.0
2456039.89941 18.865 0.034 4.20 359.0
2456041.93065 18.817 0.048 4.72 688.0
2456046.89666 18.769 0.033 4.41 343.0
2456048.83110 18.778 0.030 4.55 230.0
2456050.72587 18.810 0.038 4.61 382.0
2456052.82086 18.858 0.041 4.35 522.0
2456059.94099 18.668 0.056 4.70 1280.0
